,username,text
0,AsemanTalai,مرحله بهره‌برداری 😂😂😂 https://t.co/x2WCCFIYsW
1,alirezahy76,کی میگه عکس صدا نداره 😂 https://t.co/yMoVVZtLAs
2,ferferiofski,"آخه مگه میشه؟!!
نگاهش تو دوربین عالیه😂😂
۵ بار نگاه کردم و هی خندیدم! https://t.co/KppwGxTy45"
3,Meowhita,این منم😂😂😂 https://t.co/dA2FCltsMX
4,rezaei_delaram,من اینجوریم که دوس پسر میخوام ولی اگه اونم منو بخواد فرار می کنم. به خدا. والا هرکی منو بخواد یه مشکل روانی ریزی داره. خطرناکه خو. 😂
5,soma_ghd,تمام بعد یک جلسه خیلی مهم به این نتیجه رسیدم همون آواتارم قشنگه عوض نمیکنم🥲😂
6,mlhobbyist,می دونستید فقط یک درصد جمعیت دنیا blue whale رو از نزدیک دیدن؟ و می دونستید که شما الان دارید توییت یکی از این یه درصدی ها رو می خونید؟😂😂. Blue whale فقط کونش رو دیدیم، نشد فیلم بگیریم ولی این فیلم humpback whale کنار قایق ما. https://t.co/CsshE0lTDU
7,HaNIRma_4,"فلسفه‌ی جغد بودن من چیه؟!
واقعا چرا من شبا بیدارم و روزها خوابم میاد؟!
🦦😂"
8,Amirowski04,تا حالا 4صب تو قبرستون نبودم خیلی باحاله😂
9,lmvrivml,عکسای عقدو گرفتیم تووو همشون دهنم بازه دارم با اهنگ میخونم😂😂😂😂😂
10,Mmnaimian,من مهاجرت نکردم گفتم بابام تنها می مونه، الان اون داره مهاجرت می کنه 😂😅
11,siamakrjb,"خیلی زیباست که روز تاسوعا و راهپیمایی رنگین کمونیا توی یه روز افتاده! 😅😂
خیلی دوست دارم دو تا دسته به هم برخورد کنن بیینم چی میشه 🤣"
12,hagh_goie,"حالا همه باهم دختر آبادانی بی قراره
عاشق و شد و خبر نداااررهه
هوووو ها ماشالللااا
😔😂"
13,bozekooohi,من مردمم😂😂😂😂 https://t.co/VUaPXHYqZq
14,1mhmdreza1,آقا هرکی بیداره بیاد پی وی یا حالا دایرکت هر کوففتتیی 😔😂رد دادم 😔😂 https://t.co/p2VRe0WfiR
15,Hamirezapahlavi,"پایدار تا پای دار👌🏼
داداشیا😂 https://t.co/9Y5Hh80N9n"
16,asrarbt,هر جایی هست ی لواط مرامی بهم بدهکاره 😂 https://t.co/6zqZZgy9F8
17,shawguli,"من وقتی یه کوچولو ناراحت میشم: 
😂😂😂 https://t.co/YtIgpa8pgk"
